sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
42069;BME280;27736;50.764;13.712;2021-04-26T00:00:29;93384.00;;;-6.04;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:05:32;93383.94;;;-6.27;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:10:34;93376.75;;;-6.33;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:15:35;93370.69;;;-5.85;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:20:37;93366.72;;;-6.12;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:25:39;93364.03;;;-6.57;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:30:40;93362.22;;;-6.80;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:35:42;93358.09;;;-6.69;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:40:43;93358.44;;;-6.74;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:45:45;93359.72;;;-6.68;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:50:47;93364.44;;;-6.75;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T00:55:48;93366.22;;;-6.88;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T01:00:50;93364.72;;;-6.91;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T01:05:53;93352.25;;;-7.07;99.88
42069;BME280;27736;50.764;13.712;2021-04-26T01:10:55;93351.53;;;-7.09;99.94
42069;BME280;27736;50.764;13.712;2021-04-26T01:16:05;93354.34;;;-7.25;99.81
42069;BME280;27736;50.764;13.712;2021-04-26T01:21:53;93354.69;;;-7.42;99.17
42069;BME280;27736;50.764;13.712;2021-04-26T01:27:13;93357.72;;;-7.24;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T01:32:30;93352.63;;;-7.00;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T01:37:35;93358.56;;;-7.37;99.53
42069;BME280;27736;50.764;13.712;2021-04-26T01:42:39;93354.56;;;-7.41;99.94
42069;BME280;27736;50.764;13.712;2021-04-26T01:47:44;93355.41;;;-7.53;99.61
42069;BME280;27736;50.764;13.712;2021-04-26T01:52:47;93345.25;;;-7.53;99.83
42069;BME280;27736;50.764;13.712;2021-04-26T01:57:50;93350.63;;;-7.45;100.00
42069;BME280;27736;50.764;13.712;2021-04-26T02:02:56;93345.28;;;-7.66;99.83
42069;BME280;27736;50.764;13.712;2021-04-26T02:07:58;93344.69;;;-7.70;99.65
42069;BME280;27736;50.764;13.712;2021-04-26T02:13:15;93345.91;;;-7.76;99.45
42069;BME280;27736;50.764;13.712;2021-04-26T02:18:20;93334.94;;;-7.76;99.47
42069;BME280;27736;50.764;13.712;2021-04-26T02:23:23;93329.56;;;-7.97;98.83
42069;BME280;27736;50.764;13.712;2021-04-26T02:28:25;93327.03;;;-8.10;98.09
42069;BME280;27736;50.764;13.712;2021-04-26T02:33:33;93328.13;;;-8.01;98.70
42069;BME280;27736;50.764;13.712;2021-04-26T02:39:05;93324.28;;;-8.07;98.37
42069;BME280;27736;50.764;13.712;2021-04-26T02:44:13;93321.75;;;-8.07;98.44
42069;BME280;27736;50.764;13.712;2021-04-26T02:49:20;93322.66;;;-8.08;98.22
42069;BME280;27736;50.764;13.712;2021-04-26T02:54:24;93304.38;;;-8.13;98.36
42069;BME280;27736;50.764;13.712;2021-04-26T02:59:26;93301.84;;;-8.13;98.01
42069;BME280;27736;50.764;13.712;2021-04-26T03:04:33;93300.41;;;-8.04;98.69
42069;BME280;27736;50.764;13.712;2021-04-26T03:09:36;93291.88;;;-8.16;98.14
42069;BME280;27736;50.764;13.712;2021-04-26T03:14:39;93287.31;;;-8.24;97.36
42069;BME280;27736;50.764;13.712;2021-04-26T03:19:43;93288.53;;;-8.30;97.50
42069;BME280;27736;50.764;13.712;2021-04-26T03:24:47;93284.16;;;-8.28;98.25
42069;BME280;27736;50.764;13.712;2021-04-26T03:29:50;93281.31;;;-8.36;97.79
42069;BME280;27736;50.764;13.712;2021-04-26T03:34:55;93281.53;;;-8.39;97.66
42069;BME280;27736;50.764;13.712;2021-04-26T03:39:58;93273.94;;;-8.39;97.49
42069;BME280;27736;50.764;13.712;2021-04-26T03:44:59;93271.28;;;-8.37;97.80
42069;BME280;27736;50.764;13.712;2021-04-26T03:50:28;93278.38;;;-8.30;99.12
42069;BME280;27736;50.764;13.712;2021-04-26T03:55:47;93268.19;;;-8.04;99.27
42069;BME280;27736;50.764;13.712;2021-04-26T04:00:49;93268.69;;;-7.99;99.56
